id,class,text
1,yes,Votaram no PEZAO Agora tomem no CZAO
2,no,cuidado com a poupanca pessoal Lembram o que aconteceu na epoca do Collor ne
3,no,Sabe o que eu acho engracado os nossos governantes  nao pensam em cortar regalias e beneficios desnecessarios que os favorecem porque sera ne e mais do que claro ate mesmo para quem nao quer enxergar eles sao estao la para defender seus proprios interesses  e os dos empresario o no casso eles tambem ou comecamos a tomar uma atitude para mudar de uma vez por todas essa roubalheira nesse pais o a tendencia e so piorar para o povo porque dinheiro para investimentos nao tem mais para aumentos de salario e regalias nao falta
4,no,Podiam retirar dos lucros dos bancos 
5,no,CADE O GALVAO PRA NARRAR AGORA   FALIIIIUUUUUUU FALIIIUUUUUUU FALIIUUUUUUU  
6,no,Nao e possivel que deputados tenham tantos cargos comissionados ao seu dispor E esse tipo de coisa que precisa ser cortado
7,no,Sejam honestos aprovem o projeto original vamos acabar com esta farra no Brasil
8,no,Nao a pizza anunciada de anistia do caixa  Sim a divulgacao da lista da Odebrecht
9,no,quem ja viu bandidos fazendo leis contra anticorrupcao 
10,no,Olha os caras fazendo algo de util e de interesse publico
11,no,Mas ai o MBL mobiliza o povo e vai pras ruas  ironia
12,no,Enquanto isso o teori segura a bronca no stf
13,no,AVANTE  MEDIDAS o Brasil clama por elas pra cima dos corruptos Cadeia neles
14,no,Havia previsao entrar em plenario no comeco de novembro   E preciso aprovar o projeto de lei  medidas anti corrupcao com mais de dois milhoes de assinaturas   E necessario tambem preservar o conteudo original do projeto  
15,no,baguncado do jeito que esta daqui ha pouco vai ter juiz de primeira instancia mandando grampear ministro do stf se e que ja nao esta acontecendo e depois vai dizer que a prova foi colhida de boa fe a lei da magistratura resquicio da monarquia tambem precisa ser revogada
16,no,Politicos jamais aprovam leis que prejudicam eles direta ou indiretamente esta PEC e um desdobro pela crise que o Brasil esta devido as dezenas e centenas de bilhoes de reais desviados todos os anos pelo Brasil muito dinheiro meu amigo que faz  a diferenca
17,no,Limitar por   ou  anos o salario de politico e a mesma coisa que nada Isso nem faz cocegas para eles pois mesmo que ganhassem o triplo do que ganham nao teriam  por cento do patrimonio e luxo que ostentam
18,no,o problema nem sao os salarios  O PROBLEMA sao as verbas eventuais  desembargador recebendo  MIL  e a justica e cega tem cara pedindo vista nao ta enxergando nadaou se faz de cego ne STF 
19,no, para o Judiciario Acreditam mesmo neste indice 
20,no,Quem gera a riqueza de uma nacao e o trabalhador Politicos e funcionarios publicos nao geram riqueza eles se utilizam dela E no caso do Brasil roubam mesmo E podem inventar medidas que se nao parar a corrupcao o pais nao mudara nada So vai piorar
21,no,pois aquela novinha para receber alguem  sabe qual e o salario dela aivamos mandar cortar ela
22,no,Renato voce tem toda a razao temos de acabar e com aquele desgoverno passado tipo populista que ao inves de ensinar a pescar quer dar o peixe e com isso se perpetuar no poder a qualquer custo
23,no,Nossa que coisa relevante a mulher dele e voluntaria
24,no,Diminua seu salario tbm presidente Coloque um teto no salario de todos os politicos Estabeleca que o aumento dos seus salarios acompanhem o aumento do salario minimo 
25,no,nao esqueca da justica tb juizes desembargadores etc etc
26,yes,Voces sao idiotas ou se fazem Voces sabem que ele e do executivo e quer que interfira nos outros poderes Esses salarios sao vinculados a texto constitucional se informem mais nao que ele seja santo mas pra nao passarem vergonha de falar coisa que nao sabem
27,no,Falei alguma mentira
28,no,voce falou tudo
29,no,Resumiu bem a opera
30,no,Nunca vi tanta hipocrisia numa pessoa so Tentando cortar gastos com necessidades basicas da populacao e concedendo aumentos absurdos as classes que apoiaram o golpe Sabemos bem que carne ele esta cortando
31,no,Os Ricos continuam ricos e os pobres continuam pobres retiraram foi a dignidade delesisso sim
32,yes,Alexandre Acioni vai estudar pra saber o que e comunista Essas medidas do Temer sao pior que comunismo voce e mais um pobre metido a besta que fica repetindo mazelas igual a um papagaio de repeticao
33,no,Porque nao corta os gastos dos politicos
34,no,Saude educacao emprego e seguranca nao existe mais neste pais lamentavel
35,no,Sem a Pec o dinheiro tera que sair de algum lugar  ou seja novos imposto e aumento dos ja existentes O problema da educacao  saude e seguranca e a corrupcao se isso resolver vai sobrar dinheiro para essas areas 
36,no,fim da isencao de impostos para todas as igrejaschega desta bagunca
37,no,Vai taxar dinheiro de doacoes Coitados dos mendigos
38,no,Unico corte verdadeiramente na carne e acabando com o excesso de beneficios e diminuindo o salario dos politicos Ahh claro diminuir a quantidade deles tambem e bem vindo
39,no,Deveriam mas isso nao sou quem vai saber te responder pergunta la na PF
40,no,enquanto um presidente nao tiver coragem de propor acabar com TODAS as regalias e beneficios dos deputados e senadores  para mim ele continuara a ser um presidente qualquer Caso fosse  candidato reeleicao nao teria o meu voto
41,no,Paulo Bertazzi  o que voce quer e uma ditadura de novo
42,no,Sr presidente o Brasil esta ao seu lado que venham as reformas chega de mimimi e vamos trabalhar
43,yes,Mais um pobre metido a besta ja ja fica sem dinheiro e vai sentir falta dos bons tempos
44,no,Bons tempos O Brasil TEVE bons tempos Entao me lembra ai por que eu nao lembro nao HAHAHA
45,no,Sabe o que e engracado e que SIM O POVO VAI PAGAR O PATO RECHEADO E BEM GORDO
46,no,pra que ele iria fazer isso kkk pra que um politico iria ser contra politicos receberem muito
47,yes,Martin Sales deixa de ser idiot  agora ninguem pode discordar do temer que e mortadela so nesse pais mesmo que pobre metido a besta defende a direita
48,no,Viva a lava jato que venha as delacoes politicos corruptos cana 
49,no,Bernardo Cabas   Os deputados federais ja estao se movimentando para anistiarem o caixa dois que existe ate os dias de hoje So querem condenacoes daqui por diante Estao quebrando a espinha dorsal da lava a jato que e a delacao premiada
50,no,Repatriacao do dinheiro dos  parentes laranjas
51,no,Cortar a propria carne   Estou vendo so  o ze povinho se ferrar Cortar na carne e diminuir o inchaco da maquina publica  e diminuir o ganho dos politicos 
52,no,Que carne  Ele nao recebe salario minimo ja e aposentado nao precisa do SUS e muito menos de educacao publica a unica carne que ele esta cortando e da pobre quando politicos e ricos serao atingindos 
